,turnover,tc_cost
2009-03-31,1.0,0.001
2009-04-30,0.36363636363636365,0.00036363636363636367
2009-05-29,0.36363636363636365,0.00036363636363636367
2009-06-30,0.36363636363636365,0.00036363636363636367
2009-07-31,0.36363636363636365,0.00036363636363636367
2009-08-31,0.7272727272727273,0.0007272727272727273
2009-09-30,0.36363636363636365,0.00036363636363636367
2009-10-30,0.36363636363636365,0.00036363636363636367
2009-11-30,0.5454545454545454,0.0005454545454545455
2009-12-31,0.5454545454545454,0.0005454545454545455
2010-01-29,0.7272727272727273,0.0007272727272727273
2010-02-26,0.5454545454545455,0.0005454545454545456
2010-03-31,0.36363636363636365,0.00036363636363636367
2010-04-30,0.9090909090909092,0.0009090909090909092
2010-05-31,0.9090909090909091,0.0009090909090909091
2010-06-30,0.36363636363636365,0.00036363636363636367
2010-07-30,0.5454545454545454,0.0005454545454545455
2010-08-31,0.5454545454545454,0.0005454545454545455
2010-09-30,0.5454545454545454,0.0005454545454545455
2010-10-29,0.5454545454545454,0.0005454545454545455
2010-11-30,0.36363636363636365,0.00036363636363636367
2010-12-31,0.5454545454545454,0.0005454545454545455
2011-01-31,0.7272727272727273,0.0007272727272727273
2011-02-28,0.5454545454545454,0.0005454545454545455
2011-03-31,0.9090909090909091,0.0009090909090909091
2011-04-29,0.5454545454545454,0.0005454545454545455
2011-05-31,0.5454545454545454,0.0005454545454545455
2011-06-30,1.090909090909091,0.0010909090909090912
2011-07-29,0.9090909090909091,0.0009090909090909091
2011-08-31,1.2727272727272727,0.0012727272727272728
2011-09-30,0.7272727272727273,0.0007272727272727273
2011-10-31,0.5454545454545454,0.0005454545454545455
2011-11-30,0.9090909090909091,0.0009090909090909091
2011-12-30,0.9090909090909091,0.0009090909090909091
2012-01-31,0.9090909090909092,0.0009090909090909092
2012-02-29,0.9090909090909091,0.0009090909090909091
2012-03-30,0.5454545454545454,0.0005454545454545455
2012-04-30,0.7272727272727273,0.0007272727272727273
2012-05-31,1.0909090909090908,0.001090909090909091
2012-06-29,0.7272727272727273,0.0007272727272727273
2012-07-31,0.7272727272727273,0.0007272727272727273
2012-08-31,0.36363636363636365,0.00036363636363636367
2012-09-28,0.5454545454545454,0.0005454545454545455
2012-10-31,0.5454545454545455,0.0005454545454545456
2012-11-30,0.9090909090909091,0.0009090909090909091
2012-12-31,0.7272727272727273,0.0007272727272727273
2013-01-31,0.5454545454545455,0.0005454545454545456
2013-02-28,0.36363636363636365,0.00036363636363636367
2013-03-29,0.5454545454545454,0.0005454545454545455
2013-04-30,0.7272727272727273,0.0007272727272727273
2013-05-31,0.7272727272727273,0.0007272727272727273
2013-06-28,0.5454545454545454,0.0005454545454545455
2013-07-31,0.7272727272727273,0.0007272727272727273
2013-08-30,0.7272727272727273,0.0007272727272727273
2013-09-30,0.5454545454545455,0.0005454545454545456
2013-10-31,0.7272727272727273,0.0007272727272727273
2013-11-29,1.0909090909090908,0.001090909090909091
2013-12-31,0.5454545454545454,0.0005454545454545455
2014-01-31,0.7272727272727273,0.0007272727272727273
2014-02-28,0.5454545454545454,0.0005454545454545455
2014-03-31,0.36363636363636365,0.00036363636363636367
2014-04-30,0.5454545454545455,0.0005454545454545456
2014-05-30,0.36363636363636365,0.00036363636363636367
2014-06-30,0.5454545454545454,0.0005454545454545455
2014-07-31,0.5454545454545454,0.0005454545454545455
2014-08-29,0.7272727272727273,0.0007272727272727273
2014-09-30,0.7272727272727273,0.0007272727272727273
2014-10-31,0.7272727272727273,0.0007272727272727273
2014-11-28,0.9090909090909091,0.0009090909090909091
2014-12-31,1.0909090909090908,0.001090909090909091
2015-01-30,0.7272727272727273,0.0007272727272727273
2015-02-27,0.5454545454545454,0.0005454545454545455
2015-03-31,0.7272727272727273,0.0007272727272727273
2015-04-30,0.7272727272727273,0.0007272727272727273
2015-05-29,0.7272727272727273,0.0007272727272727273
2015-06-30,0.7272727272727273,0.0007272727272727273
2015-07-31,1.0909090909090908,0.001090909090909091
2015-08-31,1.0909090909090908,0.001090909090909091
2015-09-30,0.7272727272727273,0.0007272727272727273
2015-10-30,0.7272727272727273,0.0007272727272727273
2015-11-30,0.7272727272727273,0.0007272727272727273
2015-12-31,0.36363636363636365,0.00036363636363636367
2016-01-29,0.5454545454545454,0.0005454545454545455
2016-02-29,0.7272727272727273,0.0007272727272727273
2016-03-31,0.7272727272727273,0.0007272727272727273
2016-04-29,0.7272727272727273,0.0007272727272727273
2016-05-31,0.7272727272727273,0.0007272727272727273
2016-06-30,0.7272727272727273,0.0007272727272727273
2016-07-29,0.7272727272727273,0.0007272727272727273
2016-08-31,0.5454545454545454,0.0005454545454545455
2016-09-30,0.5454545454545454,0.0005454545454545455
2016-10-31,0.5454545454545454,0.0005454545454545455
2016-11-30,0.36363636363636365,0.00036363636363636367
2016-12-30,0.7272727272727273,0.0007272727272727273
2017-01-31,0.7272727272727273,0.0007272727272727273
2017-02-28,0.7272727272727273,0.0007272727272727273
2017-03-31,0.36363636363636365,0.00036363636363636367
2017-04-28,0.5454545454545454,0.0005454545454545455
2017-05-31,0.36363636363636365,0.00036363636363636367
2017-06-30,0.5454545454545454,0.0005454545454545455
2017-07-31,0.5454545454545454,0.0005454545454545455
2017-08-31,1.0909090909090908,0.001090909090909091
2017-09-29,0.5454545454545454,0.0005454545454545455
2017-10-31,0.7272727272727273,0.0007272727272727273
2017-11-30,0.36363636363636365,0.00036363636363636367
2017-12-29,0.5454545454545454,0.0005454545454545455
2018-01-31,0.7272727272727273,0.0007272727272727273
2018-02-28,0.36363636363636365,0.00036363636363636367
2018-03-30,0.7272727272727273,0.0007272727272727273
2018-04-30,0.7272727272727273,0.0007272727272727273
2018-05-31,0.7272727272727273,0.0007272727272727273
2018-06-29,0.9090909090909091,0.0009090909090909091
2018-07-31,0.7272727272727273,0.0007272727272727273
2018-08-31,0.5454545454545455,0.0005454545454545456
2018-09-28,0.7272727272727273,0.0007272727272727273
2018-10-31,0.5454545454545454,0.0005454545454545455
2018-11-30,0.7272727272727273,0.0007272727272727273
2018-12-31,0.5454545454545454,0.0005454545454545455
2019-01-31,0.36363636363636365,0.00036363636363636367
2019-02-28,0.18181818181818182,0.00018181818181818183
2019-03-29,0.18181818181818182,0.00018181818181818183
2019-04-30,0.5454545454545454,0.0005454545454545455
2019-05-31,0.7272727272727273,0.0007272727272727273
2019-06-28,0.36363636363636365,0.00036363636363636367
2019-07-31,0.7272727272727273,0.0007272727272727273
2019-08-30,0.7272727272727273,0.0007272727272727273
